#Bulk Export - Points as recorded,,,,,,,,
,WA5,WA5,WA5,WA5,WA5,WA5,WA5,WA5
,Rangitikei at Mangaweka (NRWQN),Rangitikei at Mangaweka (NRWQN),Rangitikei at Mangaweka (NRWQN),Rangitikei at Mangaweka (NRWQN),Rangitikei at Mangaweka (NRWQN),Rangitikei at Mangaweka (NRWQN),Rangitikei at Mangaweka (NRWQN),Rangitikei at Mangaweka (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-23 10:30:00,17.19999999999999,4.8,97.6,8,36,11,2419,29
2019-02-20 09:00:00,19.30000000000001,0.85,99.7,8.2,1,5,980,13
2019-03-20 10:00:00,18.30000000000001,,111.4,,,,,
2019-04-15 09:00:00,11.199999999999989,4.4,100,8,74,10,2419,137
2019-05-22 11:10:00,9.600000000000023,2.6,103.6,8.3,20,4,60,5
2019-06-12 10:10:00,8,11,99.6,7.9,90,16,326,37
2019-07-17 10:00:00,7.5,173,99.9,8.5,170,319,2247,573
2019-08-21 10:30:00,6.600000000000023,12.2,99.6,7.8,196,24,411,45
2019-09-25 09:15:00,8.399999999999977,86.1,96.2,8,105,124,5475,1483
2019-10-23 09:00:00,9.800000000000011,45.8,99.6,8.1,100,59,2419,1553
2019-11-20 09:30:00,13,61.6,102,8.2,35,110,2419,117
2019-12-18 10:10:00,16.5,317,98,8.2,33,538,24192,3654
2020-01-22 09:25:00,19.80000000000001,0.32,103.2,8.2,1,4,1733,19
2020-02-19 09:30:00,19.30000000000001,1,102.9,8.2,1,5,2419,28
2020-03-18 09:45:00,14,0.35,113.6,8.5,1,5,649,12
2020-05-20 10:15:00,6.899999999999977,1.2,101.2,8.1,37,4,79,9
2020-06-24 10:10:00,7.100000000000023,10.2,99.3,7.9,85,14,276,60
2020-07-22 11:00:00,8.399999999999977,33.1,100,8,56,36,91,20
2020-08-19 10:50:00,6.399999999999977,1.1,104.1,8.4,37,4,172,16
2020-09-23 10:30:00,10.199999999999989,5.3,103.1,8.3,56,9,291,21
2020-10-21 09:20:00,13.199999999999989,4.5,100.09999999999998,8,41,12,687,49
2020-11-18 10:30:00,13.300000000000011,4.5,100.09999999999998,8.1,60,12,980,68
2020-12-16 11:00:00,18.600000000000023,1.7,105.1,8.2,23,6,299,10
2021-01-20 09:55:00,16.80000000000001,1,101.70000000000002,8.2,1,3,1203,34
2021-02-18 09:15:00,13.399999999999977,3,98.7,8.1,3,9,1733,143
2021-03-17 09:15:00,15,0.71,109.1,8.4,4,6,816,45
2021-04-21 09:15:00,12.699999999999989,0.5,107.90000000000002,8.4,4,4,288,19
2021-05-19 09:15:00,8.800000000000011,11.5,100.29999999999998,7.8,68,68,1553,121
2021-06-23 09:15:00,7.399999999999977,46.1,99.5,7.9,110,61,1120,115
2021-07-21 09:15:00,6.199999999999989,44.3,99.4,8,255,62,1733,78
2021-09-22 10:00:00,8.899999999999977,3.9,101.50000000000001,8.1,80,9,387,53
2021-10-20 08:15:00,11.399999999999977,2.9,100.8,8.2,73,12,488,55
2021-11-17 09:00:00,14.300000000000011,82.3,102.4,8.1,64,194,2419,1733
2021-12-15 09:15:00,16,173,100.7,7.9,79,405,10462,1259
2022-01-19 09:30:00,19.100000000000023,0.85,105.1,8.3,2,4,1120,11
2022-02-23 08:15:00,18.19999999999999,0.87,102.4,8.2,14,7,1203,29
2022-03-23 08:15:00,15.300000000000011,13.3,99.2,8.1,13,15,2419,157
2022-04-20 09:15:00,13.199999999999989,1.2,103,8.3,5,5,276,16
2022-05-18 09:15:00,12.100000000000023,373,99.5,8.2,181,753,24192,4352
2022-06-22 09:15:00,6.899999999999977,21.8,98.8,8.1,266,38,1300,76
2022-07-20 09:15:00,7.300000000000011,10.7,99.6,8,161,6,435,48
2022-09-21 10:00:00,10.399999999999977,73.6,100,8.1,114,79,2419,1733
2022-10-19 09:15:00,11.399999999999977,3.8,100.6,8.2,97,24,855,265
2022-11-23 09:15:00,13.300000000000011,245,99.2,8.3,60,555,17329,6131
2022-12-14 11:15:00,15.199999999999989,,100.50000000000001,,,,,
2023-01-18 09:15:00,15,35.1,100.6,8.1,61,60,2419,1986
2023-02-22 09:15:00,16.19999999999999,64.6,99.3,8.1,114,78,2419,135
2023-03-22 09:15:00,12.300000000000011,167,99.3,7.9,89,325,2419,15531
2023-05-17 10:15:00,8.300000000000011,34.1,99.8,8,78,67,2419,166
2023-07-19 09:41:00,8.199999999999989,80.4,99.7,7.9,215,95,770,69
2023-08-23 09:42:00,5.399999999999977,30.5,100.09999999999998,7.9,163,42,816,24
2023-09-20 09:47:00,10.199999999999989,1.3,105.8,8.4,63,11,687,23
2023-10-18 08:15:00,11.800000000000011,1620,102.2,8,150,2070,24192,24192
2023-11-22 09:32:00,14,74.6,101,7.9,43,67,1300,105
2023-12-12 09:34:00,15.100000000000023,3.1,99.3,8.1,6,5,344,37
