#Bulk Export - Points as recorded,,,,,,,,
,WA2,WA2,WA2,WA2,WA2,WA2,WA2,WA2
,Manganui at SH3 (NRWQN),Manganui at SH3 (NRWQN),Manganui at SH3 (NRWQN),Manganui at SH3 (NRWQN),Manganui at SH3 (NRWQN),Manganui at SH3 (NRWQN),Manganui at SH3 (NRWQN),Manganui at SH3 (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-22 11:30:00,15.5,0.68,95.6,7.8,24,21,2419,56
2019-02-19 10:25:00,14.600000000000023,0.62,96.7,7.7,17,24,2419,88
2019-03-19 11:15:00,16.30000000000001,1.8,100.8,7.8,26,22,2419,214
2019-04-16 11:20:00,10.699999999999989,1.2,99.2,7.6,251,17,1986,57
2019-05-21 11:15:00,8.899999999999977,1.3,99.5,7.6,247,17,2419,84
2019-06-11 11:33:00,8.899999999999977,3.1,99.2,7.5,283,15,1046,76
2019-07-16 10:50:00,10.100000000000023,16.1,97.9,7.1,635,179,2419,2419
2019-08-20 11:30:00,7,2,100.09999999999998,7.4,207,13,1046,45
2019-09-24 11:35:00,9.300000000000011,8,96.2,7.7,59,42,2419,548
2019-10-22 09:52:00,9.699999999999989,1.1,99.9,7.8,172,18,2419,83
2019-11-19 11:15:00,11,0.72,100.2,7.6,214,16,1553,231
2019-12-17 11:00:00,13.399999999999977,91.3,100.2,7,21,355,2419,1203
2020-01-21 11:15:00,16.600000000000023,0.45,101.2,7.5,17,19,1733,67
2020-02-18 10:45:00,16.5,0.6,100.09999999999998,7.7,16,23,2419,687
2020-03-17 10:50:00,12.5,0.75,99.7,7.7,17,23,1414,121
2020-05-19 11:15:00,9,1,100.7,7.7,147,17,980,20
2020-06-23 11:20:00,8.300000000000011,1.1,99.2,7.5,361,14,488,32
2020-07-21 12:00:00,9.100000000000023,8.9,99.6,7.2,66,51,2419,649
2020-08-18 10:50:00,6.699999999999989,1.4,99.7,7.6,148,13,649,52
2020-09-22 10:55:00,10.100000000000023,2.4,100.39999999999999,7.7,191,14,770,66
2020-10-20 10:50:00,10.800000000000011,1.4,99.8,7.6,127,20,2419,488
2020-11-17 10:10:00,11.5,0.95,99.4,7.6,142,13,1986,107
2020-12-15 11:06:00,13.5,0.91,99,7.5,194,10,1300,54
2021-01-19 10:50:00,14.600000000000023,1.5,101.2,7.7,29,17,2419,161
2021-02-16 11:04:00,12.600000000000023,5.2,98.8,7.5,31,21,2419,461
2021-03-16 11:15:00,14,0.92,99.4,7.7,109,19,2419,219
2021-04-20 11:15:00,10.600000000000023,0.76,99.8,7.7,137,14,1300,31
2021-05-18 11:15:00,9.399999999999977,1.9,102.6,7,127,30,2419,866
2021-06-22 11:15:00,8.600000000000023,1.6,99.8,7.3,210,10,659,47
2021-07-20 11:15:00,8.199999999999989,4.4,99.4,7.3,346,23,866,39
2021-09-21 11:15:00,7.899999999999977,0.98,99.8,7.6,175,15,194,15
2021-10-19 10:15:00,10.399999999999977,1.1,100.29999999999998,7.6,176,15,435,122
2021-11-16 10:00:00,13.699999999999989,6.8,99.9,7.5,95,55,2419,2419
2021-12-14 10:15:00,13.899999999999977,21.4,100.50000000000001,6.9,70,143,5794,1860
2022-01-18 10:15:00,15.5,0.46,104.60000000000001,7.7,20,16,2419,488
2022-02-22 10:30:00,15.100000000000023,0.71,99.5,7.6,137,16,1733,87
2022-03-22 10:30:00,13.800000000000011,1.1,100.2,7.7,38,22,2419,365
2022-04-19 11:00:00,12.300000000000011,1.2,99.7,7.9,23,19,1046,105
2022-05-17 11:00:00,13.100000000000023,1.1,99.9,7.7,65,20,2419,365
2022-06-21 11:00:00,6.699999999999989,1,102.4,7.7,292,15,304,21
2022-07-19 11:00:00,9.5,0.9,99.7,7.6,193,21,488,66
2022-08-16 11:00:00,9.100000000000023,0.8,100.39999999999999,7.6,156,16,345,57
2022-09-20 11:00:00,10.800000000000011,1.4,100.29999999999998,7.8,182,19,461,82
2022-10-18 11:00:00,10.600000000000023,0.6,101.50000000000001,7.8,43,16,649,39
2022-11-22 11:15:00,13.100000000000023,1.1,100.39999999999999,7.5,264,18,2419,298
2022-12-13 12:30:00,14.5,0.5,102.6,7.7,81,14,866,52
2023-01-17 11:15:00,13.399999999999977,0.7,95.6,7.8,123,14,816,32
2023-02-21 11:15:00,14.100000000000023,0.7,101.4,7.7,73,12,1300,86
2023-03-21 11:15:00,13,2.8,99.9,7.6,161,39,2419,2419
2023-05-16 11:39:00,7.899999999999977,0.9,99.6,7.5,189,28,517,57
2023-07-18 11:07:00,7.100000000000023,0.7,99,7.7,66,28,387,40
2023-08-22 11:24:00,7.399999999999977,1.2,100.7,7.4,181,16,517,55
2023-09-19 11:21:00,8.300000000000011,0.8,100,7.6,75,19,2419,26
2023-10-17 10:24:00,11.300000000000011,1.4,101.1,7.8,89,26,1986,115
2023-11-21 11:10:00,12.5,1.2,100.9,8.1,216,18,1986,116
2023-12-11 11:37:00,13.5,0.8,100.6,7.9,81,20,1046,152
