#Bulk Export - Points as recorded,,,,,,,,
,WA1,WA1,WA1,WA1,WA1,WA1,WA1,WA1
,Waitara at Bertrand Rd (NRWQN),Waitara at Bertrand Rd (NRWQN),Waitara at Bertrand Rd (NRWQN),Waitara at Bertrand Rd (NRWQN),Waitara at Bertrand Rd (NRWQN),Waitara at Bertrand Rd (NRWQN),Waitara at Bertrand Rd (NRWQN),Waitara at Bertrand Rd (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-22 10:15:00,21.5,2.4,110.89999999999999,8.5,14,25,2419,23
2019-02-19 09:30:00,21.100000000000023,2.4,100.6,8.1,1,21,2419,35
2019-03-19 09:55:00,20.899999999999977,9.5,102.6,7,224,39,1986,69
2019-04-16 10:15:00,13.5,21.6,102,7.8,620,42,2419,435
2019-05-21 10:00:00,11.699999999999989,4.2,102.2,7.8,570,20,2419,88
2019-06-11 10:30:00,10.899999999999977,11.3,101,7.7,548,21,1300,118
2019-07-16 09:45:00,10.899999999999977,214,99.2,7.3,366,811,24192,11199
2019-08-20 10:30:00,9.300000000000011,42,101.1,7.3,490,51,2419,291
2019-09-24 10:30:00,12.399999999999977,24.5,96.5,7.9,582,216,2419,687
2019-10-22 09:00:00,14.5,14.4,102,8,410,39,2419,461
2019-11-19 10:00:00,14.5,74.1,100.09999999999998,7.6,288,187,2419,2419
2019-12-17 09:00:00,19.69999999999999,20.2,100.2,7.7,257,77,2419,461
2020-01-21 09:55:00,22.69999999999999,3.5,103.49999999999999,8.1,1,22,1733,20
2020-02-18 09:35:00,22.19999999999999,1.8,99.8,8,3,21,2419,96
2020-03-17 09:30:00,17.600000000000023,1.9,106.4,8.4,23,22,1120,117
2020-05-19 10:35:00,10.899999999999977,2.1,104.70000000000002,7.9,432,16,727,70
2020-06-23 10:15:00,10.899999999999977,28.5,100.9,7.6,679,35,2419,411
2020-07-21 10:50:00,11.5,10,100.09999999999998,7.7,565,23,2419,162
2020-08-18 09:55:00,8.699999999999989,4.5,98.7,7.9,423,16,435,28
2020-09-22 09:45:00,12.600000000000023,52.6,101,7.8,338,56,2419,488
2020-10-20 09:30:00,13.600000000000023,19.7,99.7,7.7,431,240,2419,2419
2020-11-17 09:15:00,16.5,3.2,105.3,8.1,451,21,2419,148
2020-12-15 11:00:00,17.5,11.5,101.1,7.7,652,23,2419,135
2021-01-19 09:30:00,21.30000000000001,4.6,113.3,8.4,156,16,2419,186
2021-02-16 09:25:00,17.600000000000023,45.9,98.1,8,277,193,2419,2419
2021-03-16 10:00:00,17.899999999999977,10.1,101.50000000000001,7.9,221,31,2419,53
2021-04-20 10:00:00,13.699999999999989,6,101.2,7.9,307,22,1553,91
2021-05-18 10:00:00,12.899999999999977,14.9,101.6,7.4,795,252,2419,2419
2021-06-22 10:00:00,10.899999999999977,37.8,99.7,7.5,560,77,691,281
2021-07-20 10:00:00,10.699999999999989,297,97.9,7.2,526,697,11199,1376
2021-09-21 10:00:00,11.5,15.9,102,7.9,399,37,2419,125
2021-10-19 09:00:00,13.399999999999977,211,99.3,7.7,274,173,2419,2419
2021-11-16 09:00:00,15.600000000000023,262,99,7.6,285,292,24192,4884
2021-12-14 09:00:00,16.899999999999977,218,98.3,7.1,277,561,24192,24192
2022-01-18 09:00:00,22.899999999999977,2.3,100.2,8.3,32,13,1986,47
2022-02-22 09:30:00,19.69999999999999,2.5,101.4,7.8,424,19,2419,79
2022-03-22 09:00:00,18.19999999999999,2.2,101.6,7.9,216,53,2419,1986
2022-04-19 10:00:00,15.199999999999989,7.2,103,8.2,211,25,461,62
2022-05-17 10:00:00,14.199999999999989,640,98.6,7.7,381,392,24192,8164
2022-06-21 10:00:00,10.300000000000011,63,102,7.6,706,95,2419,326
2022-07-19 10:00:00,11.199999999999989,11.4,99.8,7.7,706,30,1733,99
2022-08-16 10:00:00,10.5,5.3,101.1,7.8,593,21,921,71
2022-09-20 10:00:00,12.300000000000011,159,99.1,7.5,307,291,24192,11199
2022-10-18 10:00:00,15.100000000000023,6.8,104.70000000000002,8,245,34,579,41
2022-11-22 10:00:00,15.300000000000011,288,99.1,7.5,375,387,155307,72700
2022-12-13 11:24:00,20.19999999999999,5.6,100.29999999999998,8.1,284,23,1986,142
2023-01-17 10:00:00,19.600000000000023,2.6,107.80000000000001,8.4,175,15,2419,31
2023-02-21 10:00:00,20,2.9,106.4,8,194,15,1203,46
2023-03-21 10:20:00,16.80000000000001,48.9,98.8,7.6,352,103,2419,2419
2023-05-16 10:48:00,11.199999999999989,14.8,100.39999999999999,7.4,541,46,1203,155
2023-07-18 10:15:00,9.699999999999989,3.3,103.9,8.1,270,26,326,50
2023-08-22 10:38:00,9.699999999999989,220,99.5,7.3,373,245,1046,613
2023-09-19 10:26:00,12.699999999999989,66.9,101.70000000000002,7.7,206,62,2419,291
2023-10-17 09:24:00,13.300000000000011,77.5,100.2,7.9,252,96,2419,1986
2023-11-21 08:41:00,14.699999999999989,391,98.5,7.6,225,416,24192,7701
2023-12-11 10:40:00,17.30000000000001,2.7,111.80000000000001,8.6,192,18,1300,88
